id,review_id,category_id,rating_value,created_at
57,102,5,4.4,2025-06-18T16:33:04.429216
58,103,5,4.4,2025-06-18T16:33:04.429218
59,104,5,4.4,2025-06-18T16:33:04.429220
60,105,5,4.4,2025-06-18T16:33:04.429223
61,151,1,4.4,2025-06-18T16:33:04.429361
62,152,1,4.4,2025-06-18T16:33:04.429363
63,153,1,4.4,2025-06-18T16:33:04.429366
64,154,1,4.4,2025-06-18T16:33:04.429368
65,155,1,4.4,2025-06-18T16:33:04.429371
66,151,2,4.4,2025-06-18T16:33:04.429502
67,152,2,4.4,2025-06-18T16:33:04.429505
68,153,2,4.4,2025-06-18T16:33:04.429507
69,154,2,4.4,2025-06-18T16:33:04.429509
70,155,2,4.4,2025-06-18T16:33:04.429512
71,151,4,4.5,2025-06-18T16:33:04.429641
72,152,4,4.5,2025-06-18T16:33:04.429644
73,153,4,4.5,2025-06-18T16:33:04.429646
74,154,4,4.5,2025-06-18T16:33:04.429649
75,155,4,4.5,2025-06-18T16:33:04.429651
76,151,5,4.2,2025-06-18T16:33:04.429773
77,152,5,4.2,2025-06-18T16:33:04.429776
78,153,5,4.2,2025-06-18T16:33:04.429779
79,154,5,4.2,2025-06-18T16:33:04.429781
80,155,5,4.2,2025-06-18T16:33:04.429784
81,201,1,4.0,2025-06-18T16:33:04.429915
82,202,1,4.0,2025-06-18T16:33:04.429918
83,203,1,4.0,2025-06-18T16:33:04.429920
84,204,1,4.0,2025-06-18T16:33:04.429923
85,205,1,4.0,2025-06-18T16:33:04.429925
86,201,2,4.1,2025-06-18T16:33:04.430055
87,202,2,4.1,2025-06-18T16:33:04.430057
88,203,2,4.1,2025-06-18T16:33:04.430060
89,204,2,4.1,2025-06-18T16:33:04.430062
90,205,2,4.1,2025-06-18T16:33:04.430065
91,201,4,4.1,2025-06-18T16:33:04.430193
92,202,4,4.1,2025-06-18T16:33:04.430196
93,203,4,4.1,2025-06-18T16:33:04.430201
94,204,4,4.1,2025-06-18T16:33:04.430204
95,205,4,4.1,2025-06-18T16:33:04.430207
96,201,5,3.8,2025-06-18T16:33:04.430338
97,202,5,3.8,2025-06-18T16:33:04.430341
98,203,5,3.8,2025-06-18T16:33:04.430343
99,204,5,3.8,2025-06-18T16:33:04.430346
100,205,5,3.8,2025-06-18T16:33:04.430348
101,251,1,4.2,2025-06-18T16:33:04.430480
102,252,1,4.2,2025-06-18T16:33:04.430490
103,253,1,4.2,2025-06-18T16:33:04.430492
104,254,1,4.2,2025-06-18T16:33:04.430495
105,255,1,4.2,2025-06-18T16:33:04.430497
106,251,2,4.4,2025-06-18T16:33:04.430620
107,252,2,4.4,2025-06-18T16:33:04.430627
108,253,2,4.4,2025-06-18T16:33:04.430630
109,254,2,4.4,2025-06-18T16:33:04.430632
110,255,2,4.4,2025-06-18T16:33:04.430635
111,251,4,4.4,2025-06-18T16:33:04.430758
112,252,4,4.4,2025-06-18T16:33:04.430761
113,253,4,4.4,2025-06-18T16:33:04.430764
114,254,4,4.4,2025-06-18T16:33:04.430766
115,255,4,4.4,2025-06-18T16:33:04.430768
116,251,5,4.3,2025-06-18T16:33:04.430891
117,252,5,4.3,2025-06-18T16:33:04.430893
118,253,5,4.3,2025-06-18T16:33:04.430896
119,254,5,4.3,2025-06-18T16:33:04.430898
120,255,5,4.3,2025-06-18T16:33:04.430901
121,301,1,4.3,2025-06-18T16:33:04.431024
122,302,1,4.3,2025-06-18T16:33:04.431026
123,303,1,4.3,2025-06-18T16:33:04.431029
124,304,1,4.3,2025-06-18T16:33:04.431031
125,305,1,4.3,2025-06-18T16:33:04.431034
126,301,2,4.5,2025-06-18T16:33:04.431156
127,302,2,4.5,2025-06-18T16:33:04.431159
128,303,2,4.5,2025-06-18T16:33:04.431161
129,304,2,4.5,2025-06-18T16:33:04.431164
130,305,2,4.5,2025-06-18T16:33:04.431166
